year,Electricity & heat_emissions,Petroleum refining_emissions,Other (energy systems)_emissions,Metals_emissions,Chemicals_emissions,Other (industry)_emissions,Aviation_emissions,Road_emissions,Rail _emissions,Shipping_emissions,Other (transport)_emissions,Residential_emissions,Coal mining fugitive emissions_emissions,Oil and gas fugitive emissions_emissions,Cement_emissions,Enteric Fermentation (CH4)_emissions,"Manure management (N2O, CH4)_emissions",Rice cultivation (CH4)_emissions,"Managed soils and pasture (CO2, N2O)_emissions","Biomass burning (CH4, N2O)_emissions",Waste_emissions,Buildings_emissions,Industry_emissions,AFOLU_emissions,Transport_emissions,Energy systems_emissions,all_emissions,biofuel_electricity,coal_electricity,electricity_demand,electricity_generation,fossil_electricity,gas_electricity,hydro_electricity,low_carbon_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,per_capita_electricity,renewables_electricity,solar_electricity,wind_electricity,carbon_free_electricity
2000,9574931044.040125,1218573515.9297905,51905545.0,5579323920.193302,1011101444.599182,938448073.0101534,680115972.312274,4367263150.6239605,94007283.8132691,631470562.3261184,140013269.82466725,6270931601.877549,986082418.192861,2157882324.0746813,731093843.0799998,2567637131.612002,386569725.8563918,937812295.8436984,1437994714.9396224,801637007.4718255,1863018639.2862704,6270931601.877549,10122985920.168911,6131650875.72354,4507276420.448627,13989374847.23746,41022219665.456085,149.51,5986.105,14954.26,15564.162,10001.522,2772.828,2646.667,5444.783,2580.899,1242.589,184.75,47.3,2533.325,2863.884,1.059,31.407,5444.782
2001,9802082552.650375,1269144700.100561,51905545.0,5574346585.222525,991559983.82694,972136241.6259956,664338428.6763778,4438979128.127985,90523773.42400448,605984087.6913267,143861819.3904533,6266002009.262225,970832007.0205152,2140392361.1858134,760381468.6000001,2577956418.339118,384628968.4164362,925418608.6307822,1449320252.9318194,825504321.489654,1862159100.321589,6266002009.262225,10160583379.597052,6162828569.80781,4582840947.518438,14234357165.957264,41406612072.142784,144.87,6066.336,15177.71,15799.781,10224.838,2950.852,2578.682,5464.148,2653.768,1207.649,191.894,45.7,2538.972,2810.381,1.423,38.381,5464.148
2002,9961581169.956524,1327091625.049577,51905545.0,5633889452.196519,994443308.4107536,1032572715.3238828,671090280.333528,4569140896.650896,92729886.51887988,623039229.7315822,146296468.07876766,6288927858.20226,978613751.671942,2077621971.933457,807577238.4239999,2610503864.6097603,388918630.4020714,916157176.3912928,1479640724.750413,818148585.104755,1877165176.9258826,6288927858.20226,10345647891.281036,6213368981.258292,4715437364.729664,14396814063.6115,41960196159.082756,158.46,6316.847,15712.19,16357.043,10660.991,3155.672,2626.26,5583.117,2696.171,1188.473,206.542,46.32,2595.51,2886.946,1.799,52.345,5583.117000000001
2003,10534798527.237726,1392937712.7782028,51905545.0,5861415049.121255,1029493140.6480185,1080809535.322664,666815358.5795476,4679802470.212509,95799642.30242813,640691951.6178347,151195084.887987,6430025112.520296,1087104021.088685,2250954538.0616508,888999202.0000005,2649283349.548641,390166064.4925306,910627287.9171758,1506439089.240048,847215751.2477907,1909032927.120481,6430025112.520296,10769749854.21242,6303731542.446187,4830997555.100496,15317700344.166265,43652204408.44567,169.53,6762.137,16268.66,16935.316,11264.555,3308.574,2622.821,5548.073,2641.568,1193.844,218.143,47.97,2653.827,2906.505,2.255,63.285,5548.072
2004,10931121000.32565,1403242859.33889,51905545.0,6382217662.554285,1102169547.0540016,1135675359.2860904,709960682.3131334,4867312548.427748,103639595.18594639,689717103.4155575,159240558.4933331,6512166886.126175,1175187660.6900544,2242596867.1002154,950509016.4599998,2690578880.130962,391181555.9325566,942465813.2918367,1548065457.6549964,878765814.4275581,1938275758.323382,6512166886.126175,11508847343.67776,6451057521.437909,5026553106.921081,15804053932.45481,45302678790.61774,186.43,6985.804,17065.939,17738.584,11719.057,3563.925,2816.453,5902.353,2761.605,1169.328,235.696,49.76,2745.296,3140.747,2.972,85.626,5902.352
2005,11296446460.22745,1437364951.8412347,51905545.0,6775215946.96068,1167858747.3712192,1168342898.688744,738502955.0628049,4955674466.115863,110565160.7530302,712076023.3184038,165379640.70038518,6563668584.883988,1255512821.9559548,2284132981.978926,1023956758.1800003,2714334931.4144006,394385023.04396915,970916589.9548019,1550824112.1831381,897927081.0573647,1960331561.6133595,6563668584.883988,12095705912.814003,6528387737.653673,5121054106.816248,16325362761.003567,46634179103.17148,209.94,7357.745,17734.1,18465.418,12293.805,3762.714,2911.281,6044.062,2768.868,1173.346,255.082,50.45,2822.51,3275.195,4.187,104.644,6044.062
2006,11741450936.502922,1497019628.4477315,51905545.0,7127290134.911955,1222473481.9678855,1136964802.519638,747289957.239553,5068289447.789473,115917357.9990146,758778252.2601217,162817560.48022896,6550979208.843724,1320305960.2296603,2306531037.403148,1125731816.9799995,2749304808.606161,399679524.9791459,981457106.5376675,1585812731.63673,907928212.6649206,2011585915.2781627,6550979208.843724,12624046151.65764,6624182384.424626,5231107008.269701,16917213107.58346,47947527860.77915,224.06,7759.789,18440.301,19167.045,12805.375,3977.849,3022.086,6236.472,2803.366,1067.736,271.76,51.77,2893.658,3433.106,5.762,133.498,6236.471999999999
2007,12261765441.236826,1576191224.7211466,51905545.0,7523437606.255052,1241186479.3330438,1173179187.994801,767044577.5104461,5234899291.67199,115556494.70883864,798415757.7334695,172912152.38585064,6524406927.955738,1345526465.7473593,2281902725.355003,1244837798.1,2787519587.301119,401968297.2279631,985643202.5467948,1603251434.4876525,937920329.8417764,2044874449.0022585,6524406927.955738,13227515520.685154,6716302851.405306,5407811444.057841,17517291402.060333,49393328146.164375,245.86,8250.479,19324.26,20059.064,13640.224,4302.882,3072.892,6293.29,2746.23,1086.862,294.843,54.05,2991.103,3547.06,7.818,171.507,6293.289999999999
2008,12290465073.077574,1605708567.827867,51905545.0,7613788661.895332,1187520854.237484,1206644198.2836027,759918499.4196463,5306249331.696864,105874640.72864307,784647619.4979897,173494665.8548871,6582033701.002906,1345864833.7234995,2355791005.9673204,1240590828.1399992,2821523440.3070416,406774482.8590669,1016932047.6734288,1602015205.383286,999991604.2144221,2066641823.303652,6582033701.002906,13315186365.86007,6847236780.437245,5479743997.551751,17649735025.59626,49873935870.448235,262.46,8265.874,19629.18,20436.479,13776.074,4447.399,3251.431,6538.666,2737.708,1062.802,315.419,55.47,3010.062,3800.958,12.697,221.411,6538.666
2009,12117122335.599272,1584056020.7328537,51905545.0,7528595633.215985,1162362655.9859822,1215816471.7564716,718942976.2564852,5287994194.368164,91773323.85685848,757357417.1528693,149196867.41967803,6500884162.200277,1357447578.905092,2324376430.390698,1293603749.8799996,2835652873.184879,408092491.2155046,1015753208.6414025,1640847308.8013978,988398821.6193154,2076340850.415118,6500884162.200277,13276719361.253557,6888744703.4625,5437191061.787842,17434907910.62792,49538447199.33209,286.37,8115.217,19521.891,20278.684,13578.186,4468.451,3246.414,6582.078,2698.983,994.517,338.814,56.59,2950.456,3883.094,21.074,276.793,6582.078
2010,12953135350.594141,1697928399.6604156,51905545.0,8161731695.613327,1246582522.584672,1260243745.97961,757724326.5923715,5495824367.902557,95100657.09310429,803536579.6051762,160274169.71444854,6579513869.543885,1414434229.119775,2379253172.1281757,1387956015.32,2847432460.0428014,410218648.75934553,1031395015.0351974,1651026572.3785243,1017419440.7645735,2097264420.6009614,6579513869.543885,14153778400.098574,6957492136.980441,5656098537.617006,18496656696.502506,51843539640.74241,328.01,8634.277,20849.93,21581.271,14475.211,4888.422,3429.21,6958.829,2768.506,952.51,380.777,57.2,3102.037,4190.323,33.911,346.425,6958.829000000001
2011,13565034161.490349,1688342237.1234024,51905545.0,8477665954.166387,1320090527.734181,1287223056.325104,778262907.003498,5572066919.378496,106750601.00607029,817925617.3052355,159987167.3398615,6502540859.976825,1556798854.9422297,2427028908.076612,1477584483.2800004,2867207987.932961,409209858.55221623,1035214459.510276,1690942247.0221174,1059444999.9975574,2135775506.1878204,6502540859.976825,14698339527.693493,7062019553.015128,5732054086.718357,19289109706.632595,53284063734.0364,348.63,9075.768,21600.9,22268.924,15066.299,4949.532,3492.672,7053.67,2652.677,1041.0,402.355,58.26,3162.525,4400.993,65.582,440.384,7053.67
2012,13898694818.187597,1702563951.6568093,51905545.0,8562050497.655058,1373095083.566902,1355839698.696217,787701424.2700797,5694540342.205638,101060182.89940298,779348320.9904933,151296946.7397466,6437814582.091176,1602359535.7074497,2486844525.3054304,1534617376.3300002,2895985206.05968,412862472.0385481,1032160620.904064,1701500294.4294105,1058905979.3133461,2163828480.9370303,6437814582.091176,14989431137.185207,7101414572.7450485,5845837288.945384,19742368375.85729,54116865956.82411,377.38,9107.229,22050.99,22817.488,15489.016,5244.609,3641.911,7180.444,2470.78,1137.178,435.716,58.71,3201.944,4709.665,101.541,530.496,7180.444000000001
2013,14165241589.363588,1749886766.2005107,51905545.0,8704824390.631914,1399897344.7859156,1403916054.0826542,807024961.6152599,5867410882.287608,101415322.90854704,783711592.6920631,159212716.3819701,6570746969.713321,1572711186.8819644,2502522174.5900803,1366458046.0600004,2913618383.0801606,414981931.4770803,1041850222.5655706,1737263602.0421126,1106802978.0132675,2206268466.442135,6570746969.713321,15081364302.002619,7214517117.178191,6026623598.669579,20042267262.036144,54935519249.59985,411.13,9576.638,22699.07,23452.438,15780.746,5127.772,3788.332,7523.968,2490.533,1076.336,470.996,60.71,3252.364,5033.435,138.601,635.505,7523.967
2014,14263892962.676668,1634058057.5816512,51905545.0,8742164995.731928,1436955885.756665,1449585686.415589,833216999.5816549,5955952401.575893,100345498.02205405,805475524.8696573,160088875.5402694,6516889027.950097,1662586504.4869485,2540202043.5318666,1399344385.3999991,2932333478.001199,420030873.2987303,1033354175.1273844,1736990937.4032342,1114977944.2141416,2241751715.5798626,6516889027.950097,15269802668.884045,7237687408.044688,6116041277.116162,20152645113.277134,55293065495.27213,446.09,9752.35,23262.449,24049.812,16058.373,5278.891,3889.022,7842.871,2541.383,1027.133,510.257,66.11,3296.481,5301.489,196.357,705.854,7842.873
2015,13974308316.473383,1674917600.8058138,51905545.0,8618313392.493584,1393823002.7872703,1480990074.4496038,879942851.4276447,6126618965.937992,101223997.56946412,825787399.0895656,162990735.8459091,6504551596.299549,1647965015.7074466,2553064009.392094,1367798692.1000004,2967345428.112798,424385062.8970035,1028266727.937118,1753633561.1279798,1112043700.6217139,2282945055.652056,6504551596.299549,15143870217.482513,7285674480.696613,6289609701.783901,19902160487.37874,55125866483.64132,477.33,9406.546,23528.66,24292.012,16050.441,5622.241,3878.368,8091.146,2575.593,1021.654,551.101,69.26,3291.552,5515.553,254.74,831.344,8091.145999999999
